里程碑编号,里程碑名称,任务编号,任务名称,责任人,执行人,工作项状态,计划开始时间,计划完成时间,计划工期,备注,实际开始时间,实际完成时间,实际工期
3.4.1.4,边检设施设备工程,3.4.1.4.2.10.1,光纤配线架（2 个）,,杨智,逾期,,,,,,,
3.4.1.4,边检设施设备工程,3.4.1.4.2.11.1,网络配线架（14 个）,,杨智,逾期,,,,,,,
3.4.1.4,边检设施设备工程,3.4.1.4.2.11.2,理线器（14 个）,,杨智,逾期,,,,,,,
3.4.1.4,边检设施设备工程,3.4.1.4.2.12.1,金属圆管（2580 米）,,杨智,逾期,,,,,,,
3.4.1.4,边检设施设备工程,3.4.1.4.3.1,24口接入交换机 1.00 套,张同永,,逾期,2025-12-05,2025-12-10,6,甲方品牌库：浪潮、华三、华为,,,
3.4.1.4,边检设施设备工程,3.4.1.4.3.2,48口接入交换机 3.00 套,张同永,,逾期,2025-12-05,2025-12-10,6,甲方品牌库：浪潮、华三、华为,,,
3.4.1.4,边检设施设备工程,3.4.1.4.3.3,24口接入交换机（POE） 1.00 套,张同永,,逾期,2025-12-05,2025-12-10,6,甲方品牌库：浪潮、华三、华为,,,
3.4.1.4,边检设施设备工程,3.4.1.4.3.4,48口接入交换机(POE) 3.00 套,张同永,,逾期,2025-12-05,2025-12-10,6,甲方品牌库：浪潮、华三、华为,,,
3.4.1.4,边检设施设备工程,3.4.1.4.4.1,机柜800（W）*800（D）*2000（H）m 5.00 台,张同永,,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.4,边检设施设备工程,3.4.1.4.4.2,接地母线（30*4紫铜带） 35.00 m,张同永,,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.4,边检设施设备工程,3.4.1.4.4.3,接地母线（100*0.3铜箔） 77.00 m,张同永,,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.4,边检设施设备工程,3.4.1.4.4.4,接地母线WDZB-RYJ(F)-6 17.00 m,张同永,,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.4,边检设施设备工程,3.4.1.4.4.5,接地母线WDZB-RYJ(F)-16 17.00 m,张同永,,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.4,边检设施设备工程,3.4.1.4.4.6,接地端子箱 1.00 台,张同永,,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.4,边检设施设备工程,3.4.1.4.4.7.1,镀锌桥架（22 米）,,杨智,逾期,,,,,,,
3.4.1.4,边检设施设备工程,3.4.1.4.4.8,支架制作安装 70.00 kg,张同永,,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.4,边检设施设备工程,3.4.1.4.4.9,PDU 10.00 个,张同永,,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.4,边检设施设备工程,3.4.1.4.4.10,配线RYY3*6mm2 360.00 m,张同永,,逾期,2025-12-05,2025-12-10,6,甲方品牌库：德特威勒、耐克森、赛普,,,
3.4.1.4,边检设施设备工程,3.4.1.4.5.1,拆除及安装 1.00 项,张同永,,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.5,安检设施设备工程,3.4.1.5.1.1,人脸识别半球摄像机 10.00 台,,,逾期,,,,甲方品牌库：大华、海康威视、宇视注意事项：招标要求为枪型人脸摄像机，与货物名称半球不一致,,,
3.4.1.5,安检设施设备工程,3.4.1.5.1.2,枪型网络高清摄像机 6.00 台,,,逾期,,,,甲方品牌库：大华、海康威视、宇视,,,
3.4.1.5,安检设施设备工程,3.4.1.5.1.3,报警按钮 6.00 套,,,逾期,,,,,,,
3.4.1.5,安检设施设备工程,3.4.1.5.1.4,拾音器 8.00 套,,,逾期,,,,,,,
3.4.1.5,安检设施设备工程,3.4.1.5.1.5,拾音器电源 8.00 套,,,逾期,,,,,,,
3.4.1.5,安检设施设备工程,3.4.1.5.1.6,配线RVV2*1.0mm2 2200.00 m,,,逾期,,,,甲方品牌库：德特威勒、耐克森、赛普,,,
3.4.1.5,安检设施设备工程,3.4.1.5.1.7,配线RYYP2*1.00mm2 2600.00 m,,,逾期,,,,甲方品牌库：德特威勒、耐克森、赛普,,,
3.4.1.5,安检设施设备工程,3.4.1.5.1.8,六类非屏蔽双绞线 2450.00 m,,,逾期,,,,甲方品牌库：泛达、康宁、康普,,,
3.4.1.5,安检设施设备工程,3.4.1.5.1.9,配管KBG20 300.00 m,,,逾期,,,,,,,
3.4.1.5,安检设施设备工程,3.4.1.5.2.1,信息模块（六类） 140.00 个,,,逾期,,,,甲方品牌库：泛达、康宁、康普,,,
3.4.1.5,安检设施设备工程,3.4.1.5.2.2,双口信息面板 70.00 个,,,逾期,,,,甲方品牌库：泛达、康宁、康普,,,
3.4.1.5,安检设施设备工程,3.4.1.5.2.3,六类非屏蔽双绞线 10000.00 m,,,逾期,,,,甲方品牌库：泛达、康宁、康普,,,
3.4.1.5,安检设施设备工程,3.4.1.5.2.4,数据跳线（六类）3米 70.00 条,,,逾期,,,,甲方品牌库：泛达、康宁、康普,,,
3.4.1.5,安检设施设备工程,3.4.1.5.2.5,数据配线架（六类） 7.00 个,,,逾期,,,,甲方品牌库：泛达、康宁、康普,,,
3.4.1.5,安检设施设备工程,3.4.1.5.2.6,配管KBG20 1300.00 m,,,逾期,,,,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.1,操作台1 3.00 个,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,原名称：办公桌,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.2,操作台1 4.00 个,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,原名称：办公桌,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.3,操作台2 1.00 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,原名称：小型会议桌,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.4,操作椅 4.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,原名称：办公椅,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.5,负压隔离轮椅 2.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.6,立柜 1.00 个,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,原名称：衣柜,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.7,医用储物柜1 4.00 个,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,原名称：文件柜,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.8,医用储物柜3 40.00 个,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,原名称：双边两门更衣柜,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.9,医用储物柜2 15.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.10,医用储物柜2 5.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.11,生物安全移运箱 4.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.12,生物安全柜 1.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.13,工作站 16.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：长城、华为、联想,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.14,医用储物架 9.00 个,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.15,医用货架 6.00 个,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.16,医疗垃圾桶 2.00 个,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.17,医疗垃圾桶 4.00 个,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.18,各类废弃物收集容器 3.00 个,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.19,智能流调设备 3.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.20,额温计 2.00 个,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,参考链接：https://item.jd.com/100003406321.html#switch-sku,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.21,水银体温计 3.00 盒,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,参考链接：https://item.jd.com/100193778318.html#switch-sku,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.22,电子血压计 1.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,参考链接：https://item.jd.com/100012566566.html#switch-sku,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.23,医用电子血压计 4.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,参考链接：https://item.jd.com/100014291983.html,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.24,医学检查工具包 1.00 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.25,常用体格检查工具 2.00 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.26,采样工具 1.00 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.27,医疗急救箱 1.00 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.28,生物安全采样、送样箱 1.00 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.29,感应式手消毒器 6.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,参考链接：https://item.jd.com/10096766877668.html#switch-sku,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.30,移动式紫外消毒车 2 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.31,消毒药械 4 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.32,医用检查灯 1 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.33,医用检查灯 1 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.34,人机共存型循环空气消毒机 6 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.35,背负电动喷雾器 1 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.36,自动喷雾消毒通道 2 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.37,打印机 8 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.38,智能条码打印机及配套设备 1 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.39,诊疗推车 1 个,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.40,诊疗推车 3 个,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.41,医用诊疗车 6 个,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.42,抢救推车 1 个,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.43,普通担架 1 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.44,采样操作台 1 个,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.45,钢木结构实验台 1 个,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.46,普通冰箱 1 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.47,普通冰箱 6 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.48,低温冰箱 1 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.49,超低温冰箱 1 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.50,高压灭菌锅 1 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.51,诊床 2 张,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.52,诊疗床 1 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.53,诊疗床 3 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.54,值班设施1 30 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.55.1,证件阅读器（2 套）,,,逾期,,,,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.56,防护装备 2 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.57,信息展示大屏 1 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.58,负压隔离舱 1 座,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.6,卫检设备工程,3.4.1.6.1.59,负压隔离单元 1 座,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.7,土建工程,3.4.1.7.1,装饰架,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.7,土建工程,3.4.1.7.2.1,无机涂料柱墙面（S内1） 221.6 m2,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.7,土建工程,3.4.1.7.2.2,600*600*35mm厚防静电架空地板（S楼4） 61.1 m2,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.7,土建工程,3.4.1.7.2.3,地砖踢脚（F踢1、S踢1、G踢1） 5.54 m2,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.7,土建工程,3.4.1.7.2.4,钢质甲级防火门 10.56 m2,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.7,土建工程,3.4.1.7.2.5,板上开洞 5 个,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
4.2.1.1,电气工程,4.2.1.1.1,配电箱2-3nALEuL3e301 1.00 台,王妙燕,,延期,2025-12-05,2025-12-22,18,,,,
4.2.1.1,电气工程,4.2.1.1.2,配电箱2-3nALEuL3e302 1.00 台,王妙燕,,延期,2025-12-05,2025-12-22,18,,,,
4.2.1.1,电气工程,4.2.1.1.3,配电箱2-3nALEuL3e301.1 1.00 台,王妙燕,,延期,2025-12-05,2025-12-22,18,,,,
4.2.1.1,电气工程,4.2.1.1.4.1,热镀锌桥架（315 米）,,杨智,逾期,,,,,,,
4.2.1.1,电气工程,4.2.1.1.5,支架制作安装 764.00 kg,王妙燕,,延期,2025-12-05,2025-12-22,18,,,,
4.2.1.1,电气工程,4.2.1.1.6.1,金属圆管（100 米）,,杨智,逾期,,,,,,,
4.2.1.1,电气工程,4.2.1.1.7.1,金属圆管（170 米）,,杨智,逾期,,,,,,,
4.2.1.1,电气工程,4.2.1.1.8.1,镀锌钢管（862 米）,,杨智,逾期,,,,,,,
4.2.1.1,电气工程,4.2.1.1.9.1,金属镀锌穿线管（73 米）,,杨智,逾期,,,,,,,
4.2.1.1,电气工程,4.2.1.1.10.1,金属镀锌穿线管（36 米）,,杨智,逾期,,,,,,,
4.2.1.1,电气工程,4.2.1.1.11,送配电装置系统调试1KV 4.00 系统,王妙燕,,延期,2025-12-05,2025-12-22,18,,,,
4.2.1.1,电气工程,4.2.1.1.12,电力电缆WDZB1-YJY-0.6/1KV-4x95+1x50mm2 400.00 m,王妙燕,,延期,2025-12-05,2025-12-22,18,甲方品牌库：重庆泰山电缆有限公司、重庆鸽牌电线电缆有限公司、渝丰科技股份有限公司,,,
4.2.1.1,电气工程,4.2.1.1.13,电力电缆WDZB1-YJY-0.6/1KV-5*10mm2 20.00 m,王妙燕,,延期,2025-12-05,2025-12-22,18,甲方品牌库：重庆泰山电缆有限公司、重庆鸽牌电线电缆有限公司、渝丰科技股份有限公司,,,
4.2.1.1,电气工程,4.2.1.1.14,室内冷缩铜芯电缆头(截面积120mm2以下) 8.00 个,王妙燕,,延期,2025-12-05,2025-12-22,18,,,,
4.2.1.1,电气工程,4.2.1.1.15,室内干包铜芯电缆头(截面积10mm2以下) 4.00 个,王妙燕,,延期,2025-12-05,2025-12-22,18,,,,
4.2.1.1,电气工程,4.2.1.1.16,配线WDZB1-BYJ-25 150.81 m,王妙燕,,延期,2025-12-05,2025-12-22,18,甲方品牌库：重庆泰山电缆有限公司、重庆鸽牌电线电缆有限公司、渝丰科技股份有限公司,,,
4.2.1.1,电气工程,4.2.1.1.17,配线WDZB1-BYJ-16 75.41 m,王妙燕,,延期,2025-12-05,2025-12-22,18,甲方品牌库：重庆泰山电缆有限公司、重庆鸽牌电线电缆有限公司、渝丰科技股份有限公司,,,
4.2.1.1,电气工程,4.2.1.1.18,配线WDZB1-BYJ-10 725.95 m,王妙燕,,延期,2025-12-05,2025-12-22,18,甲方品牌库：重庆泰山电缆有限公司、重庆鸽牌电线电缆有限公司、渝丰科技股份有限公司,,,
4.2.1.1,电气工程,4.2.1.1.19,配线WDZB1-BYJ-6 2089.26 m,王妙燕,,延期,2025-12-05,2025-12-22,18,甲方品牌库：重庆泰山电缆有限公司、重庆鸽牌电线电缆有限公司、渝丰科技股份有限公司,,,
4.2.1.1,电气工程,4.2.1.1.20,配线WDZB1-BYJ-4 17549.47 m,王妙燕,,延期,2025-12-05,2025-12-22,18,甲方品牌库：重庆泰山电缆有限公司、重庆鸽牌电线电缆有限公司、渝丰科技股份有限公司,,,
4.2.1.1,电气工程,4.2.1.1.21,配线WDZB1-BYJ-2.5 739.88 m,王妙燕,,延期,2025-12-05,2025-12-22,18,甲方品牌库：重庆泰山电缆有限公司、重庆鸽牌电线电缆有限公司、渝丰科技股份有限公司,,,
4.2.1.1,电气工程,4.2.1.1.22,配线WDZB1-BYJ-1.5 739.88 m,王妙燕,,延期,2025-12-05,2025-12-22,18,甲方品牌库：重庆泰山电缆有限公司、重庆鸽牌电线电缆有限公司、渝丰科技股份有限公司,,,
4.2.1.1,电气工程,4.2.1.1.23,配线WDZC-BYJ-4 240.30 m,王妙燕,,延期,2025-12-05,2025-12-22,18,甲方品牌库：重庆泰山电缆有限公司、重庆鸽牌电线电缆有限公司、渝丰科技股份有限公司,,,
4.2.1.1,电气工程,4.2.1.1.24.1,机房装修工程（1 项）,,杨智,逾期,,,,,,,
4.2.1.1,电气工程,4.2.1.1.25,"单相二极加三极插座250V,10A 55.00 个",王妙燕,,延期,2025-12-05,2025-12-22,18,,,,
4.2.1.1,电气工程,4.2.1.1.26,"单联跷板开关250V,10A 2.00 个",王妙燕,,延期,2025-12-05,2025-12-22,18,,,,
4.2.1.1,电气工程,4.2.1.1.27,"双联跷板开关250V,10A 1.00 个",王妙燕,,延期,2025-12-05,2025-12-22,18,,,,
4.2.1.1,电气工程,4.2.1.1.28,LED一体化支架灯 8.00 套,王妙燕,,延期,2025-12-05,2025-12-22,18,,,,
4.2.1.2,空调工程,4.2.1.2.1,基站空调UAC5.0 2.00 台,王妙燕,,延期,2025-12-05,2025-12-22,18,,,,
4.2.1.2,空调工程,4.2.1.2.2,基站空调UAC3.0 2.00 台,王妙燕,,延期,2025-12-05,2025-12-22,18,,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.1.1,一体查验通道应用服务器 2.00 套,王妙燕,,延期,2025-12-05,2025-12-31,27,甲方品牌库：华为、浪潮、联想注意事项：国产服务器，考虑国产中间件，国产数据库，国产操作系统等第三方软件,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.1.2,海关智慧通关平台软件 1.00 套,王妙燕,,延期,2025-12-05,2025-12-31,27,,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.1.3,红外NVR存储 1.00 套,王妙燕,,延期,2025-12-05,2025-12-31,27,甲方品牌库：大华、海康威视、华为,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.1.4,硬隔离 5.00 m,王妙燕,,延期,2025-12-05,2025-12-31,27,,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.1.5,查验工作站 2.00 台,王妙燕,,延期,2025-12-05,2025-12-31,27,甲方品牌库：长城、华为、联想,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.2.1.1,智能上锁机（ 套）,,,逾期,,,,,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.2.2.1,光电开关（接线）（3 个）,,杨智,逾期,,,,,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.2.2.2,反射板（3 块）,,杨智,逾期,,,,,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.2.2.3,智能上锁机补件（1 套）,,杨智,逾期,,,,,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.2.3,无源标签 2.00 盒,王妙燕,,延期,2025-12-05,2025-12-31,27,,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.3.1,人脸识别系统软件 1.00 套,王妙燕,,延期,2025-12-05,2025-12-31,27,,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.3.2,人脸识别应用服务器 2.00 台,王妙燕,,延期,2025-12-05,2025-12-31,27,甲方品牌库：华为、浪潮、联想注意事项：国产服务器，考虑国产中间件，国产数据库，国产操作系统等第三方软件,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.3.3,人脸识别数据库服务器 2.00 台,王妙燕,,延期,2025-12-05,2025-12-31,27,甲方品牌库：华为、浪潮、联想注意事项：国产服务器，考虑国产中间件，国产数据库，国产操作系统等第三方软件,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.3.4,人脸识别算法服务器 2.00 台,王妙燕,,延期,2025-12-05,2025-12-31,27,甲方品牌库：华为、浪潮、联想注意事项：国产服务器，考虑国产中间件，国产数据库，国产操作系统等第三方软件华为算法服务器参数：12*3.5inch盘位主机；标配2颗kunpeng 920-5220(32核-2.6GHz)；2*32G 内存；可支持16个内存插槽；标配4*GE以太网＋双口万兆；9540  RAID卡；1*4T SATA  硬盘，可支持配置12块3.5inch托架的SATA/SAS硬盘；4*Atlas300I duo；标配2个2000W交流电源；无DVD；l导轨；2U机架式。,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.4.1,判图工作站 6.00 台,王妙燕,,延期,2025-12-05,2025-12-31,27,甲方品牌库：长城、华为、联想,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.4.2,集中审图升级 1.00 套,王妙燕,,延期,2025-12-05,2025-12-31,27,,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.5.1,国内转国际海关信息显示LED条屏 3.69 m²,王妙燕,,延期,2025-12-05,2025-12-31,27,,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.5.2,信息发布工作站 2.00 台,王妙燕,,延期,2025-12-05,2025-12-31,27,甲方品牌库：长城、华为、联想,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.5.3,信息发布系统管理软件 1.00 套,王妙燕,,延期,2025-12-05,2025-12-31,27,,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.6.1,半球网络高清摄像机 21.00 台,王妙燕,,延期,2025-12-05,2025-12-31,27,甲方品牌库：大华、海康威视、宇视,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.6.2,人脸识别半球摄像机 11.00 台,王妙燕,,延期,2025-12-05,2025-12-31,27,甲方品牌库：大华、海康威视、宇视注意事项：招标要求为枪型人脸摄像机，与货物名称半球不一致,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.6.3,枪型网络高清摄像机 23.00 台,王妙燕,,延期,2025-12-05,2025-12-31,27,甲方品牌库：大华、海康威视、宇视,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.6.4,智能球型摄像机 5.00 台,王妙燕,,延期,2025-12-05,2025-12-31,27,甲方品牌库：大华、海康威视、宇视,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.6.5,拾音器 17.00 套,王妙燕,,延期,2025-12-05,2025-12-31,27,,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.6.6,拾音器电源 17.00 套,王妙燕,,延期,2025-12-05,2025-12-31,27,,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.6.7,网络存储设备 1.00 台,王妙燕,,延期,2025-12-05,2025-12-31,27,甲方品牌库：大华、海康威视、宇视,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.6.8,光纤收发器 10.00 台,王妙燕,,延期,2025-12-05,2025-12-31,27,,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.6.9,4芯光缆（室内） 1480.00 m,王妙燕,,延期,2025-12-05,2025-12-31,27,甲方品牌库：泛达、康宁、康普,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.6.10,配线RVV2*1.0mm2 1700.00 m,王妙燕,,延期,2025-12-05,2025-12-31,27,甲方品牌库：德特威勒、耐克森、赛普,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.6.11,配线RYYP4*1.0mm2 360.00 m,王妙燕,,延期,2025-12-05,2025-12-31,27,甲方品牌库：德特威勒、耐克森、赛普,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.6.12.1,网线（16 箱）,,杨智,逾期,,,,,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.6.13.1,金属圆管（700 米）,,杨智,逾期,,,,,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.6.14,行李分拣区设备箱 1.00 台,王妙燕,,延期,2025-12-05,2025-12-31,27,注意事项：设备箱需根据现场实际情况调整,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.7.1,信息模块（六类） 164.00 个,王妙燕,,延期,2025-12-05,2025-12-31,27,甲方品牌库：泛达、康宁、康普,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.7.2,双口信息面板 94.00 个,王妙燕,,延期,2025-12-05,2025-12-31,27,甲方品牌库：泛达、康宁、康普,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.7.3,信息模块（光纤） 24.00 个,王妙燕,,延期,2025-12-05,2025-12-31,27,,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.7.4.1,网线（24 箱）,,杨智,逾期,,,,,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.7.5,4芯光缆（室内） 2000.00 m,王妙燕,,延期,2025-12-05,2025-12-31,27,甲方品牌库：泛达、康宁、康普,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.7.6.1,12芯室内光缆（2500 米）,,杨智,逾期,,,,,,,
4.2.1.3,海关监管设施设备工程,4.2.1.3.7.7.1,网络跳线（112 条）,,杨智,逾期,,,,,,,
